title,저자,발행기관,발행연도,핵심어
특별교통수단 효율성 제고를 위한 준특별교통수단 적정비율 산정 연구                      = 동남권(부산 · 울산 · 경남)사례를 중심으로,"송기욱(Song, Ki-Wook)",대한국토·도시계획학회,2015,"['특별교통수단(휠체어 택시)', '교통약자', '장애인', '바우처택시', '준특별교통수단(장애인 전용택시)', 'Special Transport Services', 'Wheelchair-Taxi', 'Disabled', 'Handicapped', 'Voucher-Taxi', 'Sub-Special Transport Service']"
무장애친화공원을위한적정기능및조성방안연구 - 서울시 근린생활권 근린공원을 중심으로 -,"이수지,백승준,김주환,강현경",한국환경생태학회(N/A),2015,
교통약자를 위한 지하철 네비게이션 앱 디자인 연구,정승연(Seung-Yeon Jeong),한국디자인학회,2015,"['App Deign', 'Universal Design', 'Information Design']"
도시철도 승강장 안전발판 시스템 해석에 관한 연구                      = A Study on urban railway platform safety step system analysis,김민호(Min-Ho Kim),한국철도학회,2015,"['Safety step', 'Platform', 'Urban Railway', 'Welfare mobility', '안전발판', '승강장', '도시철도', '교통복지']"
보도자료를 통해 본 주요 교통 뉴스,김동준,한국교통연구원(KOTI),2015,
논문 : 서울의 고령일인가구 분포와 대중교통 접근성                      = The Spatial Distribution of the Single-households Elderly and Public Transport Accessibility in Seoul,조대헌 ( Dae Heon Cho ),한국도시지리학회,2014,"['고령일인가구', '대중교통', '접근성', '공간적 집중', '공간적 형평성. single-households elderly', 'public transport', 'accessibility', 'spatial concentration', 'spatial equity']"
유니버설 디자인 중심의 철도서비스 개선 방안 연구                      = A Study on Railroad Service Improvement Centered on Universal Design - Based on Case Studies outside of Korea,김현주(Hyunju Kim),한국철도학회,2014,"['Universal design', 'Railroad Service', 'The Transportation Poor', '유니버설디자인', '철도서비스', '교통약자']"
교통약자(고령운전자)의 운전특성 및 고속도로 교통안전 교육에 관한 연구,"이은경(YI, Eun Kyeong)",대한교통학회,2014,
지하철 고상 승강장 설치형 안전발판 시스템 개발에 관한 연구                      = A Study on the Development of the Safety Scaffold System for the Metro High Platform,류경신,한국방재학회,2014,"['교통약자', '도시철도 승강장', '안전발판', '실족사고', '안전사고 예방', 'Urban railway platform', 'Safety scaffolds', 'Platform accident', 'Accident mitigation']"
도시철도 승강장 안전발판 시스템 개념설계,"박민흥(Park, Min-Heung)",한국산학기술학회,2014,"['Crash Safety', 'Function &amp', 'Production Requirements', 'Maintenance Easiness', 'Safety Step', 'Urban Railway Platforms']"
도시철도 승강장 설치형 안전발판에 관한 연구,류경신,한국방재학회,2014,"['도시철도', '안전발판', '실족', '사고저감', '승강장 사고']"
경찰의 예산분석 및 효율화 방안에 관한 연구,박종승,한국경호경비학회,2014,"['경찰예산', '결산', '프로그램 예산', '국회예산정책처', '경찰', 'Budget', 'Settlement of Accounts', 'Budget on Operation of Program', 'National Assembly Budget Office', 'Police']"
교통약자 보행 보조를 위한 ICT(정보통신기술) 연계기술 동향,장정아(Jeong-Ah Jang),대한토목학회,2014,
장애인의 특별교통수단 만족도가 장애수용과 삶의 질에 미치는 영향,"고관우(Ko, Kwan-Woo)",한국산학기술학회,2014,"['Acceptance of Disability', 'Disabled Persons', 'Quality of Life', 'Special Transportation System(STS)']"
교통약자 맞춤형 보행자 수준 네트워크 생성 기법                      = Generating Pedestrian Level Network Data for Transportation Vulnerable,박슬아(Seula Park),대한공간정보학회(The Korean Society for Geo-Spatial Information System),2014,
대마도의 유니버설디자인 환경에 관한 소고,"안상락,유현배",한국상품문화디자인학회,2014,"['Tsushima', 'Universal design', 'Environment design', '대마도', '유니버설디자인', '환경디자인']"
"역사 · 문화를 고려한 특화가로의 이용후 평가(P.O.E) 에 관한 연구                      = 서울 사대문안 정동길, 인사동길을 중심으로","강은진(Kang, Eun Jin)",한국도시설계학회,2014,"['역사문화탐방로', '정동길', '인사동길', '이용 후 평가', 'Historic · Culture Visiting Road', 'Jeongdong-gil', 'Insadong-gil', 'Post Occupancy Evaluation']"
차량 IT 기반 교차로 정보 사전예보 시스템에 관한 연구                      = A Study on the Prior Forecast System of Crossroads based on Vehicle-IT Convergence,임대환(Dae-Hwan Im),한국정보기술학회,2014,"['vehicle IT', 'ITS', 'traffic prior forecast', 'WAVE', 'V2X']"
저상버스 노선선정 방안에 관한 연구   :                         전라북도 사례를 중심으로                                = A Study on Low-Floor Bus Routes Selection - Focused on the Case of Jeollabuk-Do,이창현,한국ITS학회,2014,"['low-floor bus', 'transportation vulnerable', 'demand forecasting', 'transit operation', 'bus route selection', '저상버스', '교통약자', '수요추정', '대중교통 운영', '버스노선선정보']"
디아코니아신학 관점에서 본 장애인과 함께하는 교회 공동체에 관한 연구,김옥순,한국실천신학회,2014,"['장애인', '분열신학', '섬기시는 하나님', '상호도움', '디아코니아신학', '건강한 교회', 'the disabled', 'divided theology', 'serving God', 'mutual help', 'theology of diaconia', 'healthy church']"
경상남도 교통약자 이동편의를 위한 정책제언                      = 특별교통수단을 대상으로,송기욱,경남연구원,2014,
유니버설디자인 관점에서의 홍콩지하철 사인시스템 연구                      = A study on Sign system of Hongkong Subway in Universal Design,안상락 ( Sang Iak An ),한국상품문화디자인학회,2014,"['유니버설디자인', '홍콩지하철', '사인시스템', 'Universal design', 'HongKong subway', 'sign system']"
고령사회를 대비한 노인운전자 교통사고 특성 및 저감방안                      = 제주지역을 중심으로,김경범(Kyung-Bum Kim),한국콘텐츠학회(The Korea Contents Society),2014,"['노인운전자', '교통사고', '특성', '저감방안', 'Elderly Driver', 'Traffic Accident', 'Characteristics', 'Reduction Methods']"
생활에서의 교통안전을 위한 법적 검토                      = Legal Review for Traffic Safety in Usual Living,김원중(Kim Won Jung),유럽헌법학회,2014,"['교통안전', '교통사고', '교통단속', '교통안전정책', '교통법', 'traffic safety', 'Traffic accident', 'traffic control', 'traffic safety policies', 'traffic law']"
유니버설디자인 관점에서의 홍콩지하철 사인시스템 연구,"안상락,고영준",한국상품문화디자인학회,2014,"['Universal design', 'HongKong subway', 'sign system', '유니버설디자인', '홍콩지하철', '사인시스템']"
무장애(Barrier-Free) 보행환경 조성을 위한 가로개선사업의 평가 및 개선방향 도출                      = 서울특별시 걷고싶은거리 사업대상지를 중심으로,"정윤남(Jeong, Yun-Nam)",대한건축학회(The Architectural Institute of Korea),2014,"['보행환경', '배리어 프리', '유니버설 디자인', '교통약자', '가로환경 개선사업', 'Pedestrian Environment', 'Barrier Free', 'Universal Design', 'Mobility Handicapped', 'Street Improvement Project']"
<론문(論文)> : 학생 통학정책의 교육법적 검토                      = Education legal examination of the policy about attending school,박혜경 ( Hye Kyung Park ),대한교육법학회,2014,"['학생통학', '통학정책', '통학법', '스쿨버스', '통학차량', '교육복지', 'school bus', 'school bus policy', 'educational welfare', 'attending school']"
교통약자 통행특성과 장애인 콜택시 이용의사 모형,"김숙희(KIM, Suk Hee)",대한교통학회,2014,
고령운전자 운전정보전달을 위한 차량용 햅틱시트 연구,오승용(S. Y. Oh),한국재활복지공학회,2014,"['Old-driver', 'Driving', 'Information', 'Vehicle Seat', 'Vibration stimulus', 'Haptics']"
택시 영상DB를 활용한 교통약자 보행자 사고의 심각도 분석                      = Severity Analysis for Vulnerable Pedestrian Accident Utilizing Vehicle Recorder Database of Taxi,정재훈 ( Jae Hoon Chung ),한국안전학회(구 한국산업안전학회)(The Korean Society of Safety),2014,"['severity analysis', 'ordered probit model', 'pedestrian accident', 'vulnerable pedestrian', 'vehicle recorder']"
Mash-up기법을 활용한 모니터링 시스템의 시각화기법,김주환,한국인터넷방송통신학회,2014,"['Mash-up', 'GIS', 'CCTV', 'monitoring', 'Visualization']"
지방철도정책의 전개와 이념                      = 일본국철의 경험을 중심으로,황영진(Young-Jin Hwang),한국철도학회,2014,"['JNR(Japanese National Railway)', 'Local railway policy', 'Termination of local railway', '일본국철', '지방철도정책', '지방철도의 폐지']"
대마도의 유니버설디자인 환경에 관한 소고                      = A study on Universal design environment of Tsushima,안상락 ( Sang Lak An ),한국상품문화디자인학회,2014,"['대마도', '유니버설디자인', '환경디자인', 'Tsushima', 'Universal design', 'Environment design']"
운전자 정보전달을 위한 차량용 햅틱시트 연구,오승용(S. Y. Oh),한국재활복지공학회,2014,"['Driving', 'Information', 'Seat', 'Vibration stimulus', 'Haptics']"
중요도-만족도분석을 통한 보행자시설 개선에 관한 연구                      = A Study on the Improvement of Pedestrian Facilities by the Use of Importance-Performance Analysis,이창희,대한교통학회,2014,"['이동편의시설', '중요도-만족도 분석', '보행자', '보행환경', '보행자시설', 'mobility convenience facilities', 'importance-performance analysis', 'pedestrian', 'pedestrian environment', 'pedestrian facilities']"
구조방정식(SEM)을 활용한 교통약자 이동편의시설의 중요도 분석                      = Importance Factor Analysis on Mobility Facilities for the Transportation Disabled by Using Structural Equation Model,안우영,대한토목학회,2014,"['교통약자', '구조방정식', '외생잠재변수', '내생잠재변수']"
교통흐름을 고려한 교통약자 우선신호 운영방안 연구   :                         연동화 가로구간내 횡단보도를 대상으로                                = A Priority Signal Control Strategy for Vulnerable Considering Traffic Flow - Focusing on crosswalks in coordinated arterial sections,류준일,한국ITS학회,2014,"['교통약자', '감응식 신호', '교통약자 우선신호', '횡단보도', '교통흐름', 'Vulnerable', 'Priority signal', 'Pedestrian', 'Crosswalk', 'Traffic flow']"
폭원 9m 미만 도로 내 교통사고 영향 요인 분석                      = Analysis on Factors of Traffic Accident on Roads having Width of Less than 9 Meters,임유진,한국ITS학회,2014,"['교통사고', '사고모형', '9m 미만 도로', '생활도로', '이분형 로지스틱 회귀분석', '사고유형', '도로폭원', 'Traffic Accident', 'Accident Model', 'Community Road', 'Roads with a width of Less than 9 Meters', 'Binary Logistic Regression', 'BLR', 'Accident Type', 'Road Width']"
CART를 이용한 화물자동차 교통사고 특성 분석,"한상진(Han, Sangjin)",한국교통연구원,2014,"['치사율', '화물자동차', '교통사고', 'CART', '사고 심각도', 'Proportion of fatalities', 'Trucks', 'Accident', 'accident severity']"
VCC 환경에서 위장 ID를 이용한 위치 프라이버시에 대한 연구                      = Study on the location privacy using the disguise ID in VCC environment,이희만(Lee Hee Man),한국산학기술학회,2014,
