title,저자,발행기관,발행연도,핵심어
한·일 지방도시 거주복지문제   :                         중심시가지의 재생방안                                = 日韓地方都市居住福地問題-中心市街地再生の方途,吉田邦彦,한국주거환경학회,2010,
한ㆍ일 지방도시 주거복지문제,요시다 쿠니히코(吉田邦彦),한국주거환경학회,2010,
운행환경과 교통약자를 고려한 중형버스 스타일링                      = New Styling of Medium Size Bus,장세기(S. Chang),한국정밀공학회,2010,"['Styling', 'Medium Size', 'Bus']"
M-IPA 분석을 활용한 국내외 지하철 교통약자 아동시설의 서비스 특성비교연구   :                         유럽사례중심                                = The Comparative Analysis on Characteristics of Subway Vulnerable People Using The Modified Importance-Performance Analysis(M-IPA) : Focussing on Europe Case Study,박정수,동양대학교,2010,
첨단 교통약자 보호시스템에 대한 연구                      = A Study on Intelligent Mobility Enhancement System for the Mobility Handicapped,한웅구,한국ITS학회,2010,"['The mobility handicapped', 'mobility', 'location-based service', 'voice guidance service', 'location tracking system']"
영상보안산업 기술추세와 방범정보 제휴방안                      = A Study on the Marketing Trends and Effective Utilization of Video Security,문남수 ( Nam Su Moon ),한국경찰이론과실무학회,2010,"['영상보안', '네트워크', '고해상도', '지능형 영상분석', 'Video Security', 'CCTV', 'Surveillance Camera', 'DVR', 'NVR', 'IP Networks', 'High Resolution', 'Intelligent Image Processing']"
노인교통사고 감소방안에 관한 연구                      = A Study on Reducing the Aged Traffic Accidents,박봉수 ( Bong Su Bak ),영남대학교 한국균형발전연구소 (구 영남대학교 영남지역발전연구소)(Yeungnam regional development institute yeungnam university),2010,"['노인교통사고', '교통약자', '교통정책', '노인의 특성', 'The aged traffic accident', 'The traffic-handicapped person', 'Traffic policy', 'The elderly`s traits']"
소비자 관점에서 본 장애인의 생활위험요인에 관한 연구,김성숙,위기관리 이론과 실천,2010,"['장애인소비자', '생활위험요인', '신체적.물리적 위험', '가정내 안전사고', '가정환경 안전사고', '이동안전사고', '경제적 위험', '소비에서의 차별', '재정적 스트레스']"
교통약자 여객선 이동편의시설 설치메뉴얼 개발,김홍태,대한조선학회(The Society of Naval Architects of Korea),2010,
보행자 교통사고 특성분석에 관한 연구,유기열,대한교통학회,2010,
경기도 횡단보도 신호시스템 개선방안 연구,빈미영,경기연구원,2009,"['경기도 횡단보도', '보행자 신호기', '보행우선구역']"
교통약자의 여객선 이동편의 평가기준 개발                      = Development of Accessibility Criteria for the Mobility Handicapped Persons in Passenger Ship,김홍태,대한인간공학회,2009,"['Mobility Handicapped', 'Passenger Ship', 'Maritime Safety']"
일본국철 민영화 이후 지방철도정책에 관한 고찰                      = A Study on Local Railway Policy after JNR Privatization,황영진(Hwang Young-Jin),한국철도학회,2009,
"Now ESCO 2 - 세계의 도시, 녹색과 만나다",문태훈,에너지절약전문기업협회,2009,
교통약자를 고려한 대중교통 환승스케줄링 알고리즘 개발,김응철,대한교통학회,2009,
교통약자 이동편의 증진계획의 개선방안(성남시를 중심으로),조항웅,대한교통학회,2009,
교통약자를 고려한 환승센터 내부시설 평가 및 배치에 관한 연구,박경욱,대한교통학회,2009,
