title,저자,발행기관,발행연도,핵심어
서울시 명동 관광특구 가로환경의 무장애 디자인 개선방향 연구,"김대희(Kim, Daehee)",대한건축학회(The Architectural Institute of Korea),2016,"['무장애', '배리어프리', '가로환경', '교통약자', '열린 관광지', '평가지표', 'Barrier free', 'Street Environment', 'Mobility Handicapped', 'Accessible Tourism']"
국내 교통 환경에 적합한 새로운 보행자 AEB 평가 시나리오에 관한 연구,전광기(Kwangki Jeon),한국자동차공학회,2016,"['Autonomous Emergency Braking(AEB', '자동비상제동)', 'Car-to-Pedestrian(C2P', '차대보행자)', 'Vulnerable Road User(VRU', '교통약자)', 'Pedestrian(보행자)', 'Test Scenario(시험시나리오)', 'Traffic Environment(교통환경)']"
교통약자의 보행 교통사고 특성과 보행 횡단요소 분석(여수시를 사례로),김상구,한국디지털정책학회,2016,"['융복합', '교통약자', '노인', '보행', '반응시간', '보행속도', 'Fusion and Convergence', 'Transportation Vulnerable', 'The Aged', 'Walking', 'Reaction Time', 'Walking Spee']"
보도자료를 통해 본 주요 교통 뉴스,김동준,한국교통연구원(KOTI),2016,
중형저상버스를 위한 표준모델 개발 연구,장진영(Jinyoung Jang),한국자동차공학회,2016,"['Medium Low Floor Bus(중형저상버스)', 'Standard Model(표준모델)', 'The Mobility Handicapped(교통약자)', 'Key word(주요용어)', 'Key word(주요용어)', 'Key word(주요용어)', 'Key word(주요용어)']"
평지 보행시 보행변수를 중심으로 한 고령자 보행분석 연구,박범진,대한교통학회,2016,
교통약자를 위한 사물인터넷 기반 버스 알림 서비스 시스템 개발                      = Development of Bus Notification Systems Based on IoT for Vulnerable Pedestrians,장원창 ( Chang-one Jang ),한국항행학회,2016,"['Internet of things', 'Public data', 'Vulnerable pedestrians', 'Bus notification systems', 'Android application.']"
광역통행에도 교통약자를 배려하자!,장유림,경기연구원,2016,
노인보행자 교통사고에 대한 교통심리학적 접근,전대양,한국범죄심리학회,2016,"['노인보행자', '노인교통사고', '교통심리학', '교통정책', '노인의 특성']"
교통약자를 위한 교통체계를 확립하다                      = 교통약자의 이동권 향상에 기여,박상우,한국교통연구원(KOTI),2016,
시내버스 노선체계 평가를 위한 사회적 형평성 지표의 개발 및 적용성에 관한 연구                      = Development and Application of Social Equity Indicators for Evaluation of Bus Networks,양선규,한국ITS학회,2016,"['Equity', 'Accessibility', 'Social Equity', 'Evaluation of Bus Network', 'Transportation Vulnerable', '형평성', '접근성', '사회적 형평성', '노선체계 평가', '교통약자']"
보행시설 설계시 활용을 위한 고령자 보행특성 군집화 연구                      = Clustering Analysis of Walking Characteristics of Elderly People for Use in Pedestrian Facilities Design,노창균,대한교통학회,2016,"['군집분석', '고령자', '보행특성', '보행요소', '보행변수', 'cluster analysis', 'elderly', 'walking characteristic', 'walking factor', 'walking variable']"
중형저상버스의 개별주행모드에 따른 연료소비율 평가,정재욱(Jae-wook Jung),한국산학기술학회,2016,"['Driving Mode', 'Fuel Economy', 'Heavy-Duty Chassis Dynamometer', 'Medium Size Low-Floor Bus']"
충청권 비도심 지역의 교통안전기술 설계 및 적용,"조중연(Cho, Choong-Yeon)",한국산학기술학회,2016,"['Safety Facilities', 'Safety Facilities Design', 'Test-bed Application', 'Traffic Accident']"
시각 장애인의 안전 횡단을 위한 도로 위의 차량 검출 알고리즘 제안                      = On-Road Car Detection System Research for Corsswalk Safety of the Blind,이옥민(Okmin Lee),한국장애인재활협회,2016,"['시각 장애인', '교통 약자', '컴퓨터 비전', '차량 검출 blind person', 'trafficking weak', 'computer vision', 'car detection']"
보행류 기반 도시철도역사 평가 시뮬레이터를 활용한 대피 시나리오 분석,유소영,한국ITS학회,2016,"['보행 통행', '시뮬레이션', '도시철도', '대피 시나리오 분석', 'Pedestrian Movement', 'Mesoscopic Simulation', 'Metro-station', 'Evacuation Scenario Analysis']"
회전교차로 진출부 횡단보도의 적정 이격거리 산정에 관한 연구,"정소담(JEONG, So Dam)",대한교통학회,2016,"['회전교차로', '2단 횡단보도', '진출부 횡단보도', '이격거리', '포아송분포']"
안전을 위한 공공시각매체의 정보디자인 가이드라인 제안                      = 지하철역 안전 정보를 중심으로,"김민정(Kim, Min Jung)",한국디자인문화학회,2016,"['Safety Signage(안전사인)""Safety Information Design(안전정보디자인)', 'Subways(지하철)']"
자원봉사자에 대한 산재보험 적용방안 연구                      = A Study of the Application of Industrial Accident Compensation Insurance to Volunteers,김상호,한국보건사회연구원,2016,
특별교통서비스의 이용실태 및 활성화 방안 연구：수원시를 중심으로,이규진,한국ITS학회,2016,"['특별교통서비스', '특별교통시스템', '고령자', '임산부', '교통약자', 'Special Transport Service', 'Special Transport System', 'Elderly', 'Pregnant Woman', 'Transportation Vulnerable']"
시뮬레이션 기법을 통한 효율적 스마트 보행신호등 메커니즘 구축,이현준(Hyeonjun Lee),한국정보과학회,2016,"['스마트 보행신호 메커니즘 시스템', '교통약자 보행신호등', 'IOT 보행신호등의 시뮬레이션', '블루투스 신호등', 'smart crosswalk traffic light mechanism', 'crosswalk traffic light for handicapped', 'simulation of the IOT traffic light']"
서울시 자치구 특성을 고려한 교통약자 교통안전 영향요인 분석                      = Identifying the Effects of Jurisdiction-Related Characteristics on the Highway Safety of Vulnerable Users,성중기,위기관리 이론과 실천,2016,"['교통약자', '교통사고', '베타회귀모형', '고령자', '어린이', 'vulnerable users', 'traffic crashes', 'beta regression model', 'elderly people', 'children']"
대각선 주행이 가능한 전방향 개인용 이동수단용 메커니즘,박수산(Su-san Park),한국지능시스템학회,2016,"['개인용 이동수단', '대각선 주행', '후륜 조향', 'Personal mobility vehicle', 'diagonal driving', 'rear wheel steering']"
서울 시내버스노선도 디자인의 신체기능 요구수준 분석                      = 시각 및 인지기능을 중심으로,"김태선(Kim, Tae Sun)",한국디자인문화학회,2016,"['Aged Society(고령사회)', 'Bus Route Map(버스노선도)', 'Visual Function(시각기능)', 'Cognitive Function(인지기능)']"
집합건물 분양자의 정보제공의무와 그 책임법리                      = Informed Consent and Legal Theories of Liability in Condominium Sale Contract - On the focus of Oryukdo SK View Apartment Sale Case -,"김민규(Kim, Min Kyou)",한국토지법학회,2016,"['condominium', 'apartment', 'condominium sale contract', 'notification obligation', 'informed consent', 'duty of providing information', 'autonomy', 'default liability', 'tort', 'Indication and Advertisement Code', 'false and hype', 'transactional tort liability', 'property damage', 'alimony', 'Oryukdo SK View apartment sale case.']"
FACE (폐교 + MICE산업),송유진,한국관광서비스학회,2016,
도시재생지역 역사문화가로의 장애물 없는 생활환경(BF) 평가 연구                      = 수원시 화성행궁 연접가로를 중심으로,"박경문(Park, Kyoung-Moon)",대한건축학회(The Architectural Institute of Korea),2016,"['장애물 없는 생활환경', '교통약자', '역사문화 가로', '이면가로', '실태평가', 'Barrier Free', 'Transportation Vulnerable Users', 'Historic Cultural Street', 'Side Street', 'Real Condition Estimation']"
논문 : 신형 점자블록 개발을 위한 설계원칙 설정 연구                      = Research Paper : A Study on Establishment of Design Criteria for Development of New TWSIs,신동홍 ( Dong Hong Shin ),한국의료복지건축학회(구 한국의료복지시설학회)(Korea Institute of Healthcare Architecture),2016,"['점자블록', '설계원칙', '시각장애인', '교통약자', 'Tactile Walking Surface Indicators', 'Design Criteria', 'Blind and Vision-Impaired persons', 'Transportation Poor', 'ISO 23599']"
‘제3차 KOTI 화물운송시장 발전포럼’ 개최 외,편집부(편집자),한국교통연구원(KOTI),2016,
행동 변화를 유도하는 사회적 실험                      = Making a shift : A social experiment on pedestrians’ behaviors the subway,김혜미(Hyemi Kim),한국HCI학회,2016,"['사회적 실험', '보행자 안전', '대중교통', 'UX']"
도시철도 역사 이동·환승 편의성 향상 방안 연구                      = 승강기 중심으로,김현주,대한교통학회,2016,
서울시 명동 관광특구 가로환경의 무장애 디자인 개선방향 연구                      = A Study on Improvements of Barrier-Free Street Environment in Myeong-dong Special Tourism Zone in Seoul,김대희,대한건축학회(The Architectural Institute of Korea),2016,"['무장애', '배리어프리', '가로환경', '교통약자', '열린 관광지', '평가지표', 'Barrier free', 'Street Environment', 'Mobility Handicapped', 'Accessible Tourism']"
교통약자를 고려한 대중교통 서비스 디자인 연구 -고령자 및 외국인 중심으로-                      = A Study on Service Design of Public transportation for Transportation Vulnerable -Focused on elderly and Foreigner-,이승민(주저자) ( Seung Min Lee ),디자인융복합학회,2016,"['Transportation Vulnerable', 'Public Transportation', 'Service Design', 'User Centered Design']"
도시철도 승강장 안전발판 시스템 현장 설치 연구                      = Field application study of urban railway platform gap filler system,김중진(Jung-Jin Kim),한국철도학회,2016,"['Railway', 'Platform', 'Vulnerable', 'Interval']"
항공교통약자 안전 및 이용편의를 위한 비교법적 연구                      = A Comparative Legal Study on Safety and Transportation Convenience of Mobility Disadvantaged Persons,황호원 ( Ho-won Hwang ),한국항공우주정책·법학회(구 한국항공우주법학회),2016,"['교통약자', '이동권', '안전', '항공교통이용자', 'Mobility Disadvantageed Persons', 'Right to mobility', 'Persons with reduced Mobility', 'Safety']"
고속/일반 철도역사 안내표지 디자인 기술 개발,조정현,대한교통학회,2016,
판교 창조경제밸리 자율주행차 운행 지원방안 연구,빈미영,경기연구원,2016,"['자율주행차', '자율주행 테스트베드', '판교 창조경제밸리', '첨단교통체계', 'Autonomous vehicle', 'Test bed', 'Pangyo Creative Economy Valley', 'C-ITS']"
서울시 버스 준공영제 정책 사례:,김영현,한국지방공기업학회,2016,"['준공영제', '버스산업', '교통정책', '민영제', '공영제', '민관협력', '협력적 거버넌스']"
기립보조형 전동휠체어 개발에 따른 장애인 사용성 평가 연구                      = A Study on the Usability Test of People with Disabilities According to the Development of Powered Wheelchair of Standing Support Type,이근민(Kun Min Rhee),한국장애인재활협회,2016,"['휠체어', '기립형 전동휠체어', '전동스쿠터', '장애인', '교통약자', 'wheelchair', 'standing power wheelchair', 'power scooter', 'people with disability', 'mobility disadvantaged person']"
교통약자를 위한 공항이용서비스시스템 개선방안 연구,김창균,대한안전경영과학회,2016,"['Airport Service System', 'The Mobility Handicapped', 'Rights of Mobility', 'Service Design']"
심박수를 활용한 교통약자별 시설별 신체부하 분석 연구,안정화,한국ITS학회,2016,"['교통약자', '고령자', '보행시설', '신체부하', '가중치']"
"어린이 교통사고, 원인을 알고 대책을 세우자",빈미영,경기연구원,2016,
CA 모형을 이용한 교통약자의 피난계획 수립에 관한 연구,안치원,한국ITS학회,2016,
유니버설디자인 원리에 따른 부산시민공원 보행 환경 평가,조영행,대한건축학회지회연합회,2016,"['유니버설디자인', '보행환경', '도시공원', 'Universal Design', 'Pedestrian Environment', 'City Park']"
여객자동차 터미널 이동편의시설 BF 실태 및 개선방안 연구                      = Study on Status of Barrier Free Certification & Improvement Strategies,박신원,한국토지주택공사 토지주택연구원,2016,"['교통약자', '장애물 없는 생활환경 인증제도', '여객자동차 터미널', '시범사업', '실태조사']"
"서울시 버스 준공영제 정책 사례: 정책의 효과성, 효율성, 공공성 분석을 중심으로",홍순만,한국지방공기업학회,2016,"['준공영제', '버스산업', '교통정책', '민영제', '공영제', '민관협력', '협력적 거버넌스']"
교통약자를 위한 공간정보 플랫폼 기술 및 앱 개발,방윤식,과학기술정책연구원,2016,
Identifying the Effects of Jurisdiction-Related Characteristics on the Highway Safety of Vulnerable Users,Joong Gi Sung,위기관리 이론과 실천,2016,"['교통약자', '교통사고', '베타회귀모형', '고령자', '어린이', 'vulnerable users', 'traffic crashes', 'beta regression model', 'elderly people', 'children']"
승강장 안전발판의 현장 적용에 따른 시공 방안 및 사례 연구                      = Construction Methods and Case Studies based on Field Application of the Platform Safety Step,김민호(Min-Ho Kim),한국철도학회,2016,"['Railway Platform', 'Safety step', 'Structure Safety Analysis', 'Construction', 'Welfare mobility', '철도 승강장', '안전발판', '구조 안전성 해석', '시공', '교통복지']"
여객자동차터미널의 장애물 없는 생활환경 인증 평가에 관한 연구                      = A Study on Barrier-free Certification Evaluation of the Bus Terminals,강병근 ( Byoung-keun Kang ),한국의료복지건축학회(구 한국의료복지시설학회)(Korea Institute of Healthcare Architecture),2016,"['여객자동차터미널', '장애물 없는 생활환경 인증', '교통약자', 'Bus Terminal', 'Barrier-Free Certification', 'the Transportation Poor']"
