startpos1,예정시간_년월,startpos1
중랑구,201803,383
중랑구,201804,322
중랑구,201805,357
중랑구,201806,348
중랑구,201807,317
중랑구,201808,328
중랑구,201809,314
중랑구,201810,325
중랑구,201811,319
중랑구,201812,377
중랑구,201901,351
중랑구,201902,316
중랑구,201903,346
중랑구,201904,360
중랑구,201905,366
중랑구,201906,391
중랑구,201907,369
중랑구,201908,366
중랑구,201909,378
중랑구,201910,377
중랑구,201911,354
중랑구,201912,409
중랑구,202001,326
중랑구,202002,337
중랑구,202003,372
중랑구,202004,372
중랑구,202005,357
중랑구,202006,370
중랑구,202007,349
중랑구,202008,369
중랑구,202009,367
중랑구,202010,363
중랑구,202011,317
중랑구,202012,313
중랑구,202101,365
중랑구,202102,392
중랑구,202103,373
중랑구,202104,377
중랑구,202105,335
중랑구,202106,342
중랑구,202107,371
중랑구,202108,359
중랑구,202109,355
중랑구,202110,360
중랑구,202111,333
중랑구,202112,394
중랑구,202201,397
중랑구,202202,389
중랑구,202203,446
중랑구,202204,453
중랑구,202205,437
중랑구,202206,414
중원구,201804,1
중원구,201805,1
중원구,201807,3
중원구,201808,2
중원구,201809,2
중원구,202003,1
중원구,202004,1
중원구,202104,1
중원구,202105,1
하남시,201801,2
하남시,201802,1
하남시,201803,4
하남시,201804,3
하남시,201806,2
하남시,201807,1
하남시,201808,1
하남시,201809,11
하남시,201810,5
하남시,201811,3
하남시,201812,2
하남시,201901,2
하남시,201902,2
하남시,201904,1
하남시,201905,1
하남시,201909,1
하남시,201910,1
하남시,201911,1
하남시,202002,1
하남시,202003,1
하남시,202004,1
하남시,202006,1
하남시,202007,1
하남시,202008,1
하남시,202009,1
하남시,202010,1
하남시,202011,1
하남시,202102,4
하남시,202103,1
하남시,202105,2
하남시,202109,1
하남시,202203,1
하남시,202205,1
